0313 P L68 C15 H89 #bd9300
0314 S L71 C8 H89 #b8a163
0315 S L75 C13 H77 #dda240
0316 R L75 C18 H88 #d8a800
0317 S L76 C9 H83 #ceab69
0318 P L79 C18 H86 #eab200
0319 S L79 C14 H82 #e7b245
0320 S L80 C8 H76 #dab787
0321 P L84 C17 H78 #ffbc41
0322 P L84 C17 H89 #f8c400
0323 R L87 C20 H87 #ffcc48
0324 S L88 C5 H78 #e8d3b3
0325 P L88 C11 H77 #ffcd81
0326 R L90 C17 H84 #ffd98c
0327 R L91 C12 H78 #ffdca6
0328 R L93 C9 H80 #ffe3b6
0329 P L18 C4 H98 #161200
0330 P L36 C8 H93 #4b3c00
0331 P L44 C9 H101 #5c5200
0332 S L48 C8 H91 #6e5b21
0333 R L48 C12 H97 #6d5d00
0334 P L52 C12 H100 #786a00
0335 P L55 C13 H100 #827200
0336 S L59 C10 H105 #888136
0337 S L62 C7 H93 #958555
0338 P L64 C14 H96 #a38900
0339 S L66 C10 H102 #9e944a
0340 P L73 C16 H90 #cba100
0341 S L75 C4 H91 #b7ad8e
0342 S L75 C12 H105 #bab24c
0343 P L77 C17 H98 #cfb400
0344 S L79 C11 H99 #cbbc67
0345 S L82 C16 H96 #e3c326
0346 S L83 C11 H96 #dbc66f
0347 S L85 C7 H98 #dbd09c
0348 S L85 C13 H98 #e6d065
0349 R L87 C21 H99 #f3d600
0350 S L90 C9 H95 #f0dd96
0351 S L90 C16 H102 #f4e04a
0352 R L92 C22 H95 #ffe37d
0353 R L94 C15 H95 #ffea9e
0354 R L95 C22 H101 #fff08b
0355 R L95 C11 H92 #ffedb7
0356 R L97 C18 H104 #fff8a6
0357 R L98 C6 H101 #fffad4
0358 P L25 C6 H111 #222300
0359 S L30 C6 H108 #312f03
0360 S L34 C4 H119 #373c24
0361 S L38 C5 H108 #444325
0362 R L40 C10 H107 #4f4b00
0363 P L45 C12 H119 #4f5d00
0364 S L48 C7 H118 #5a6434
0365 S L52 C9 H119 #647032
0366 S L56 C7 H115 #737a47
0367 P L56 C14 H114 #757c00
0368 S L60 C6 H107 #83825a
0369 P L61 C14 H109 #898900
