3676 S L48 C15 H265 #3458b0
3677 S L50 C22 H266 #294ee0
3678 S L50 C25 H267 #2846ef
3679 S L50 C15 H269 #425bbb
3680 S L52 C17 H260 #2663c9
3681 P L52 C22 H260 #005edf
3682 R L56 C26 H264 #2363ff
3683 S L56 C20 H267 #4168e8
3684 R L58 C25 H266 #3b6aff
3685 S L59 C6 H269 #6e7da5
3686 S L62 C17 H264 #5181ed
3687 P L65 C20 H266 #5a87ff
3688 S L65 C18 H257 #3d8ffb
3689 S L66 C8 H264 #7790c3
3690 S L66 C16 H255 #4993ef
3691 S L66 C11 H263 #6d91d9
3692 S L70 C11 H256 #72a1e1
3693 S L70 C14 H262 #709ef5
3694 S L72 C5 H261 #93a7c7
3695 P L85 C8 H265 #b8cfff
3696 S L18 C8 H276 #0b0934
3697 S L20 C8 H284 #140c3a
3698 R L20 C13 H285 #170049
3699 S L21 C10 H274 #0d0e44
3700 S L22 C6 H284 #181536
3701 R L29 C18 H283 #290079
3702 S L30 C14 H275 #201e70
3703 S L32 C7 H285 #2e2c55
3704 R L32 C21 H277 #270095
3705 S L33 C18 H280 #2e118e
3706 S L37 C22 H279 #360eaf
3707 S L38 C13 H277 #333486
3708 S L39 C23 H274 #2f16bb
3709 S L39 C15 H273 #2d3794
3710 S L43 C16 H280 #423ca2
3711 R L44 C29 H274 #3a00e5
3712 S L47 C26 H285 #5915e1
3713 S L47 C8 H272 #4c598a
3714 S L48 C16 H280 #4f4cb7
3715 P L50 C31 H277 #4c21ff
3716 S L50 C20 H272 #4150d4
3717 S L51 C4 H277 #61667f
3718 S L52 C15 H283 #5f59bd
3719 S L54 C6 H283 #696b94
3720 S L54 C11 H282 #6766ad
3721 S L55 C13 H285 #6b65ba
3722 S L55 C24 H271 #4659f9
3723 S L61 C16 H281 #7574e0
3724 P L63 C21 H281 #786fff
3725 S L63 C5 H282 #8385a5
3726 S L65 C10 H270 #758acd
3727 S L66 C13 H284 #8a87e0
3728 S L69 C7 H273 #8d99c4
3729 P L69 C18 H281 #8d8dff
3730 S L71 C15 H282 #9393f9
3731 S L76 C10 H283 #a9abee
3732 S L84 C4 H276 #c3c9e4
3733 R L15 C9 H287 #0c002c
3734 S L17 C4 H292 #100c1e
3735 S L25 C10 H291 #25124f
3736 S L28 C15 H286 #2a0a6e
3737 S L32 C13 H287 #322170
3738 S L34 C12 H296 #3e246c
